,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,rel_filter_threshold,prop_drop
0,ade_bert_train,2022-03-27_01.19.03.039537,90.0833730691982,81.19970738844185,81.19970738844185,89.70588235294117,81.19970738844185,81.19970738844185,4,20,100,100,5e-05,0.0,0.4,0.2
1,ade_bert_train,2022-03-27_02.24.26.507186,89.89345119894091,81.04956268221574,81.04956268221574,89.49308755760367,81.04956268221574,81.04956268221574,4,20,100,100,8e-05,0.02,0.4,0.0
2,ade_bert_train,2022-03-26_23.29.14.685407,91.10980376245924,82.7536231884058,82.7536231884058,90.74243813015582,82.7536231884058,82.7536231884058,4,20,100,100,5e-05,0.01,0.4,0.2
3,ade_bert_train,2022-03-27_11.33.07.264582,89.9492936749499,80.43331076506432,80.43331076506432,89.67072620658548,80.43331076506432,80.43331076506432,4,20,100,100,3e-05,0.01,0.4,0.1
4,ade_bert_train,2022-03-27_09.07.07.554048,91.2242580847232,83.8192419825073,83.8192419825073,90.93419236079151,83.8192419825073,83.8192419825073,4,20,100,100,1e-05,0.02,0.4,0.1
5,ade_bert_train,2022-03-27_07.33.39.959607,90.20916334661356,81.12094395280235,81.12094395280235,89.83364140480592,81.12094395280235,81.12094395280235,4,20,100,100,8e-05,0.0,0.4,0.1
6,ade_bert_train,2022-03-27_10.45.08.779518,90.01486436269045,80.10936431989064,80.10936431989064,89.70521541950114,80.10936431989064,80.10936431989064,4,20,100,100,3e-05,0.02,0.4,0.1
7,ade_bert_train,2022-03-27_09.30.48.287795,91.10231917118143,83.44274252370532,83.44274252370532,90.767110702802,83.44274252370532,83.44274252370532,4,20,100,100,1e-05,0.02,0.4,0.2
8,ade_bert_train,2022-03-27_04.59.56.557178,89.82283922728331,79.94121969140338,79.94121969140338,89.48339483394832,79.94121969140338,79.94121969140338,4,20,100,100,8e-05,0.01,0.4,0.1
9,ade_bert_train,2022-03-27_02.46.31.552002,88.72023157945948,77.03703703703702,77.03703703703702,88.2899628252788,77.03703703703702,77.03703703703702,4,20,100,100,8e-05,0.02,0.4,0.1
10,ade_bert_train,2022-03-27_09.55.33.817937,90.69817223222292,83.18840579710145,83.04347826086955,90.3432494279176,83.18840579710145,83.04347826086955,4,20,100,100,1e-05,0.01,0.4,0.1
