criterion,label,seq,index,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,model_path,eval_batch_size,rel_filter_threshold,prop_drop,runID,ner_f1_micro,ner_f1_macro,rel_f1_micro,rel_f1_macro,rel_nec_f1_micro,rel_nec_prec_macro,rel_nec_rec_macro,rel_nec_f1_macro,epoch,output_hidden_states,hidden_state_from_layer,f_score_beta
ner_f1_macro,ade_bert_train,0,4,4,20,100,100,1e-05,0.02,allenai/scibert_scivocab_cased,1,0.4,0.1,2022-03-27_09.07.07.554048,90.93419236079151,91.2242580847232,83.8192419825073,83.8192419825073,83.8192419825073,81.44475920679886,86.33633633633634,83.8192419825073,20.0,,,
ner_f1_macro,ade_bert_train,1,2,4,20,100,100,5e-05,0.01,allenai/scibert_scivocab_cased,1,0.4,0.2,2022-03-26_23.29.14.685407,90.74243813015582,91.10980376245924,82.7536231884058,82.7536231884058,82.7536231884058,79.97198879551821,85.73573573573574,82.7536231884058,20.0,,,
ner_f1_macro,ade_bert_train,2,7,4,20,100,100,1e-05,0.02,allenai/scibert_scivocab_cased,1,0.4,0.2,2022-03-27_09.30.48.287795,90.767110702802,91.10231917118143,83.44274252370532,83.44274252370532,83.44274252370532,81.13475177304964,85.88588588588588,83.44274252370532,20.0,,,
ner_f1_macro,ade_bert_train,3,32,4,20,100,100,2e-05,0.02,allenai/scibert_scivocab_cased,1,0.4,0.1,2022-03-26_21.51.25.634438,90.7083716651334,91.0600121718184,83.27246165084003,83.27246165084003,83.27246165084003,81.08108108108108,85.58558558558559,83.27246165084003,20.0,,,
ner_f1_macro,ade_bert_train,4,20,4,20,100,100,5e-05,0.0,allenai/scibert_scivocab_cased,1,0.4,0.2,2022-03-27_01.40.39.491982,90.7083716651334,91.040219602294,83.16400580551525,83.16400580551525,83.16400580551525,80.47752808988764,86.03603603603604,83.16400580551525,20.0,,,
ner_f1_macro,ade_elec_train,0,613,4,20,100,100,5e-05,0.02,kamalkraj/bioelectra-base-discriminator-pubmed,1,0.4,0.1,2022-03-28_12.03.19.494299,90.46153846153844,90.83873835646888,81.19601328903656,81.19601328903656,81.19601328903656,79.04269081500647,83.46994535519126,81.19601328903656,20.0,False,9.0,
ner_f1_macro,ade_elec_train,1,595,4,20,100,100,3e-05,0.01,kamalkraj/bioelectra-base-discriminator-pubmed,1,0.4,0.2,2022-03-28_11.16.56.892174,90.42787825319806,90.80924674429713,81.01945003353455,81.01945003353455,81.01945003353455,79.57839262187089,82.5136612021858,81.01945003353455,20.0,False,9.0,
ner_f1_macro,ade_elec_train,2,604,4,20,100,100,3e-05,0.01,kamalkraj/bioelectra-base-discriminator-pubmed,1,0.4,0.1,2022-03-28_10.29.53.619221,90.23420238621298,90.60833902939169,80.59701492537313,80.59701492537313,80.59701492537313,80.05390835579514,81.14754098360656,80.59701492537313,20.0,False,9.0,
ner_f1_macro,ade_elec_train,3,612,4,20,100,100,3e-05,0.02,kamalkraj/bioelectra-base-discriminator-pubmed,1,0.4,0.2,2022-03-28_09.39.15.694578,90.1011878574571,90.47798154421211,79.40979208584842,79.40979208584842,79.40979208584842,77.99736495388669,80.87431693989072,79.40979208584842,20.0,False,9.0,
ner_f1_macro,ade_elec_train,4,592,4,20,100,100,3e-05,0.02,kamalkraj/bioelectra-base-discriminator-pubmed,1,0.4,0.1,2022-03-28_08.52.24.200104,89.9736147757256,90.38571234022686,79.68232958305758,79.68232958305758,79.68232958305758,77.27856225930681,82.24043715846994,79.68232958305758,20.0,,,
ner_f1_macro,ade_rob_train,0,632,4,20,100,100,5e-05,0.01,allenai/biomed_roberta_base,1,0.4,0.2,2022-03-27_22.47.55.820777,90.94252873563218,91.28922348716692,82.53275109170305,82.53275109170305,82.53275109170305,80.08474576271186,85.13513513513513,82.53275109170305,20.0,,,
ner_f1_macro,ade_rob_train,1,642,4,20,100,100,1e-05,0.01,allenai/biomed_roberta_base,1,0.4,0.1,2022-03-27_15.20.37.948485,90.79189686924492,91.1402159134982,81.93123628383321,81.93123628383321,81.93123628383321,79.88587731811697,84.08408408408408,81.93123628383321,20.0,,,
ner_f1_macro,ade_rob_train,2,636,4,20,100,100,3e-05,0.01,allenai/biomed_roberta_base,1,0.4,0.1,2022-03-27_18.45.12.511391,90.6046511627907,90.91016573125526,82.18562874251498,82.18562874251498,82.18562874251498,81.94029850746269,82.43243243243244,82.18562874251498,20.0,,,
ner_f1_macro,ade_rob_train,3,648,4,20,100,100,1e-05,0.01,allenai/biomed_roberta_base,1,0.4,0.2,2022-03-27_16.11.53.873590,90.54863992623328,90.8837824535499,81.41072740631888,81.41072740631888,81.41072740631888,79.71223021582733,83.18318318318319,81.41072740631888,20.0,,,
ner_f1_macro,ade_rob_train,4,645,4,20,100,100,5e-05,0.02,allenai/biomed_roberta_base,1,0.4,0.1,2022-03-27_20.22.25.066549,90.52242256125751,90.84668408567404,82.11143695014663,82.11143695014663,81.96480938416423,80.08595988538681,83.93393393393393,81.96480938416423,20.0,,,
ner_f1_macro,conll04_bert_train,0,162,4,20,100,100,5e-05,0.1,bert-base-cased,1,0.5,0.0,2022-03-24_17.03.33.337513,88.75140607424072,85.76087693285271,68.94409937888199,70.47158022886595,68.94409937888199,74.48056871217999,67.48506718300769,70.47158022886595,20.0,,,
ner_f1_macro,conll04_bert_train,1,121,4,20,100,100,5e-05,0.1,bert-base-cased,1,0.4,0.2,2022-03-24_16.56.59.416385,88.65168539325843,85.67738073136117,71.88940092165899,73.20216644784938,71.88940092165899,76.53580591795695,70.55802549852893,73.20216644784938,20.0,,,
ner_f1_macro,conll04_bert_train,2,141,4,20,100,100,5e-05,0.1,bert-base-cased,1,0.4,0.0,2022-03-24_16.43.39.922458,88.75070661390615,85.28989317510282,68.92307692307692,69.6929480222597,68.92307692307692,72.87461013326354,67.90409133200896,69.6929480222597,20.0,,,
ner_f1_macro,conll04_bert_train,3,100,4,20,100,100,5e-05,0.0,bert-base-cased,1,0.5,0.0,2022-03-24_19.36.49.329244,88.0,84.96882558568572,69.87179487179486,71.13635262047143,69.55128205128206,77.26069727134139,66.69993545737253,70.82139199055015,20.0,,,
ner_f1_macro,conll04_bert_train,4,106,4,20,100,100,5e-05,0.01,bert-base-cased,1,0.5,0.1,2022-03-24_18.28.06.063987,87.75280898876404,84.57056197825197,70.1095461658842,71.38919786096257,70.1095461658842,76.12019974155363,68.00599324397952,71.38919786096257,20.0,,,
ner_f1_macro,conll04_bert_train_lvl,0,90,4,20,100,100,5e-05,0.1,bert-base-cased,1,0.35,0.2,2022-03-31_17.30.03.393484,86.73754896474537,83.37316222527336,71.44992526158444,72.54396385286026,71.15097159940208,73.19999888688528,71.98436727269679,72.229003222939,20.0,True,11.0,
ner_f1_macro,conll04_bert_train_lvl,1,89,4,20,100,100,5e-05,0.1,bert-base-cased,1,0.4,0.2,2022-03-31_11.41.20.471429,86.7838910947249,83.14400991788337,69.47040498442367,71.02840274539281,69.47040498442367,75.05399115616711,68.31328320802005,71.02840274539281,20.0,True,8.0,
ner_f1_macro,conll04_bert_train_lvl,2,87,4,20,100,100,5e-05,0.1,bert-base-cased,1,0.6,0.2,2022-03-31_16.19.15.856440,86.71171171171173,83.09593934337435,71.82866556836903,73.18969622533366,71.82866556836903,82.91612645058024,66.75159470582813,73.18969622533366,20.0,True,8.0,
ner_f1_macro,conll04_bert_train_lvl,3,88,4,20,100,100,5e-05,0.1,bert-base-cased,1,0.5,0.2,2022-03-31_12.07.41.216129,86.94177501413228,83.0875193971056,70.01620745542951,71.10741599903213,70.01620745542951,79.15208443059181,66.64083285135918,71.10741599903213,20.0,True,8.0,
ner_f1_macro,conll04_bert_train_lvl,4,83,4,20,100,100,5e-05,0.1,bert-base-cased,1,0.5,0.2,2022-03-31_11.50.34.017874,87.13881019830029,83.06265365541128,69.82055464926592,71.0485302476333,69.82055464926592,79.8676917575541,65.54483197961459,71.0485302476333,20.0,True,8.0,
ner_f1_macro,conll04_elec_train,0,274,4,20,100,100,5e-05,0.05,google/electra-base-discriminator,1,0.55,0.0,2022-03-26_10.39.43.538891,77.06622879036672,73.74452950452341,61.36363636363635,62.67040409459958,61.36363636363635,69.38935967107149,58.8029019035884,62.67040409459958,20.0,,,
ner_f1_macro,conll04_elec_train,1,325,4,20,100,100,5e-05,0.01,google/electra-base-discriminator,1,0.55,0.0,2022-03-26_11.58.15.889933,76.82119205298012,73.4174164528016,61.77847113884556,63.89589521832413,61.466458658346326,67.69453934348292,61.26867335562988,63.57331457316284,20.0,,,
ner_f1_macro,conll04_elec_train,2,316,4,20,100,100,5e-05,0.05,google/electra-base-discriminator,1,0.4,0.0,2022-03-26_09.40.52.930623,76.55819084390512,73.26576971488699,58.69894099848714,60.53972373305201,58.39636913767019,61.45143959223033,59.71422703916984,60.22226341559169,20.0,,,
ner_f1_macro,conll04_elec_train,3,292,4,20,100,100,5e-05,0.01,google/electra-base-discriminator,1,0.4,0.0,2022-03-26_10.59.38.200312,76.61691542288557,73.26346099844304,60.39453717754173,62.378317246359785,60.39453717754173,64.11875704376551,61.4562828475872,62.378317246359785,20.0,,,
ner_f1_macro,conll04_elec_train,4,342,4,20,100,100,5e-05,0.0,google/electra-base-discriminator,1,0.4,0.0,2022-03-26_12.18.28.228361,76.57458563535911,73.15872923692844,59.57446808510639,61.2338721350154,59.270516717325215,62.64721164721164,60.63941626641854,60.95415185529512,20.0,,,
ner_f1_macro,conll04_rob_train,0,570,4,20,100,100,3e-05,0.005,roberta-base,1,0.55,0.25,2022-03-25_10.31.25.567663,87.14837286265859,83.99831331052073,67.36526946107784,67.61200231007456,67.36526946107784,68.99701222878203,67.88981651453047,67.61200231007456,20.0,,,
ner_f1_macro,conll04_rob_train,1,382,4,20,100,100,6e-05,0.01,roberta-base,1,0.55,0.0,2022-03-25_18.42.54.299054,87.02460850111856,83.58743138131499,67.98780487804879,69.3638239629096,67.98780487804879,72.09157917909712,67.64160401002506,69.3638239629096,20.0,,,
ner_f1_macro,conll04_rob_train,2,493,4,20,100,100,4e-05,0.0,roberta-base,1,0.5,0.0,2022-03-25_15.07.11.369668,87.04318936877078,83.39720103756693,70.8898944193062,71.30010307153165,70.8898944193062,73.16603074851308,70.91537371857737,71.30010307153165,20.0,,,
ner_f1_macro,conll04_rob_train,3,487,4,20,100,100,4e-05,0.0,roberta-base,1,0.45,0.0,2022-03-25_14.30.28.972095,86.45660585959092,83.17618487201602,65.78560939794419,66.8700733851583,65.78560939794419,66.91317849729501,67.93580104106421,66.8700733851583,20.0,,,
