,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,eval_batch_size,rel_filter_threshold,prop_drop
91,conll04_bert_train,2022-03-24_17.10.07.760661,83.18525140843974,71.0210535827234,70.69847293756212,87.27477477477478,69.79655712050078,69.48356807511736,4,20,100,100,5e-05,0.1,1,0.5,0.1
92,conll04_bert_train,2022-03-24_12.21.26.863312,67.83394914349195,45.23444219812659,45.23444219812659,73.87480600103467,45.76074332171893,45.76074332171893,4,20,100,100,5e-06,0.005,1,0.4,0.2
93,conll04_bert_train,2022-03-24_12.54.43.839527,68.68308142266386,45.28148872171702,45.28148872171702,74.66251298026998,43.75,43.75,4,20,100,100,5e-06,0.0,1,0.4,0.1
94,conll04_bert_train,2022-03-24_21.54.55.389301,82.898848043404,71.38475772030245,71.05417920790573,86.82432432432432,70.40498442367603,70.09345794392524,4,20,100,100,0.0001,0.005,1,0.4,0.1
95,conll04_bert_train,2022-03-24_14.25.32.819750,82.34457528974497,67.36900521439424,67.36900521439424,86.42384105960265,66.46706586826346,66.46706586826346,4,20,100,100,1e-05,0.05,1,0.5,0.0
96,conll04_bert_train,2022-03-24_18.34.19.999196,83.80960522696358,72.23762362133499,71.92266299141373,87.10762331838565,70.9175738724728,70.60653188180405,4,20,100,100,5e-05,0.01,1,0.5,0.2
97,conll04_bert_train,2022-03-24_11.35.04.621984,68.33271325069393,44.12379390167251,44.12379390167251,74.26470588235293,43.64060676779463,43.64060676779463,4,20,100,100,5e-06,0.01,1,0.4,0.1
98,conll04_bert_train,2022-03-24_13.00.55.657815,70.10456623332352,49.28130761292437,49.28130761292437,76.30306286942505,49.36061381074169,49.36061381074169,4,20,100,100,5e-06,0.0,1,0.4,0.2
99,conll04_bert_train,2022-03-24_19.36.49.329244,84.96882558568572,71.13635262047143,70.82139199055015,88.0,69.87179487179486,69.55128205128206,4,20,100,100,5e-05,0.0,1,0.5,0.0
100,conll04_bert_train,2022-03-24_18.40.32.805603,84.02069524578638,72.18223502565657,72.18223502565657,87.57660167130919,71.05666156202145,71.05666156202145,4,20,100,100,5e-05,0.005,1,0.4,0.0
