,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,eval_batch_size,rel_filter_threshold,prop_drop
228,conll04_elec_train,2022-03-26_03.44.49.684858,56.48283140317053,37.62106005497395,37.62106005497395,62.92372881355933,37.30272596843616,37.30272596843616,4,20,100,100,5e-06,0.005,1,0.45,0.1
229,conll04_elec_train,2022-03-26_10.19.39.321022,71.69279694455655,62.006477247698335,62.006477247698335,75.34626038781165,60.0924499229584,60.0924499229584,4,20,100,100,5e-05,0.05,1,0.5,0.0
230,conll04_elec_train,2022-03-26_02.06.54.166917,51.91980581944036,28.0054711792959,28.0054711792959,58.78099173553718,27.60351317440401,27.60351317440401,4,20,100,100,5e-06,0.01,1,0.45,0.1
231,conll04_elec_train,2022-03-26_07.04.03.721407,63.368487763145474,51.93655172291406,51.93655172291406,69.40494997367036,49.7841726618705,49.7841726618705,4,20,100,100,1e-05,0.05,1,0.45,0.2
232,conll04_elec_train,2022-03-26_07.46.51.255292,64.92725329435156,48.68871647082671,48.68871647082671,70.01569858712715,47.07446808510639,47.07446808510639,4,20,100,100,1e-05,0.05,1,0.55,0.1
233,conll04_elec_train,2022-03-26_12.57.55.521977,71.71213563988319,60.742007345316686,60.742007345316686,75.25083612040133,59.12762520193861,59.12762520193861,4,20,100,100,5e-05,0.0,1,0.5,0.0
234,conll04_elec_train,2022-03-26_14.55.01.637015,70.54615863930401,56.78905953281558,56.509339253095305,73.88888888888889,54.80769230769232,54.48717948717948,4,20,100,100,0.0001,0.05,1,0.55,0.2
235,conll04_elec_train,2022-03-26_00.41.18.421922,52.47477226480572,29.62790207170617,29.62790207170617,58.44287158746207,29.63885429638854,29.63885429638854,4,20,100,100,5e-06,0.05,1,0.45,0.3
236,conll04_elec_train,2022-03-26_12.31.45.661279,71.88600920767327,61.15110313068519,60.87524106171968,75.90027700831024,59.72850678733032,59.42684766214178,4,20,100,100,5e-05,0.0,1,0.4,0.2
237,conll04_elec_train,2022-03-26_10.32.35.923908,72.94918285768424,61.80680206318503,61.80680206318503,76.41456582633053,60.19108280254777,60.19108280254777,4,20,100,100,5e-05,0.05,1,0.5,0.2
238,conll04_elec_train,2022-03-26_04.57.59.145095,50.386655081364665,24.86518236663164,24.86518236663164,57.433808553971474,23.992133726647,23.992133726647,4,20,100,100,5e-06,0.0,1,0.4,0.1
239,conll04_elec_train,2022-03-26_00.22.59.482583,54.55495134402493,32.010306085023345,32.010306085023345,60.661577608142494,29.723502304147463,29.723502304147463,4,20,100,100,5e-06,0.05,1,0.45,0.0
240,conll04_elec_train,2022-03-26_04.27.35.410852,50.46950514484215,34.33050946089151,33.15403887265621,57.89208270297528,34.26573426573427,32.86713286713287,4,20,100,100,5e-06,0.005,1,0.55,0.0
