,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,eval_batch_size,rel_filter_threshold,prop_drop
379,conll04_rob_train,2022-03-25_17.59.01.982799,81.42104975136945,70.27536777615187,70.27536777615187,85.06787330316742,68.87835703001579,68.87835703001579,4,20,100,100,6e-05,0.01,1,0.45,0.3
380,conll04_rob_train,2022-03-25_19.53.11.889125,82.30636752270306,69.34628142023543,69.12770218526275,85.61835478455512,68.25633383010432,67.95827123695976,4,20,100,100,6e-05,0.005,1,0.4,0.0
381,conll04_rob_train,2022-03-25_19.37.22.772994,79.3813912646538,65.32210994429569,65.32210994429569,83.82434685936632,64.0,64.0,4,20,100,100,6e-05,0.01,1,0.6,0.25
382,conll04_rob_train,2022-03-25_18.42.54.299054,83.58743138131499,69.3638239629096,69.3638239629096,87.02460850111856,67.98780487804879,67.98780487804879,4,20,100,100,6e-05,0.01,1,0.55,0.0
383,conll04_rob_train,2022-03-25_02.42.20.447178,67.68272071916024,34.52012352565183,34.52012352565183,73.12687312687314,31.390134529147986,31.390134529147986,4,20,100,100,1e-05,0.005,1,0.4,0.2
384,conll04_rob_train,2022-03-25_04.16.00.476018,82.08512161184805,68.0151732649266,67.6873044124676,85.50805108273182,66.76737160120845,66.46525679758308,4,20,100,100,5e-05,0.05,1,0.5,0.1
385,conll04_rob_train,2022-03-25_00.47.27.587580,51.91884825658343,6.955888291902316,6.828499756870468,56.85131195335278,7.080745341614906,6.956521739130434,4,20,100,100,5e-06,0.0,1,0.5,0.0
386,conll04_rob_train,2022-03-25_03.15.59.656717,70.15442890782447,44.24939093656503,44.24939093656503,76.15106052767719,43.0471584038694,43.0471584038694,4,20,100,100,1e-05,0.0,1,0.4,0.1
387,conll04_rob_train,2022-03-25_13.34.31.450812,81.4017960610852,68.07156502222733,67.74898437706605,85.11111111111111,66.66666666666666,66.35658914728681,4,20,100,100,4e-05,0.005,1,0.5,0.25
388,conll04_rob_train,2022-03-25_22.16.08.583088,82.09664961635805,69.29637417599835,69.29637417599835,85.63443264393514,67.96116504854369,67.96116504854369,4,20,100,100,6e-05,0.005,1,0.6,0.0
