,index,dataset_path,config,types_path,tokenizer_path,max_span_size,lowercase,sampling_processes,model_path,model_type,cpu,eval_batch_size,max_pairs,rel_filter_threshold,size_embedding,prop_drop,freeze_transformer,no_overlapping,output_hidden_states,hidden_state_from_layer,seed,cache_path,debug,f_score_beta,label,log_path,store_predictions,store_examples,example_count,logPath,runID,ner_prec_micro,ner_rec_micro,ner_f1_micro,ner_prec_macro,ner_rec_macro,ner_f1_macro,rel_prec_micro,rel_rec_micro,rel_f1_micro,rel_prec_macro,rel_rec_macro,rel_f1_macro,rel_nec_prec_micro,rel_nec_rec_micro,rel_nec_f1_micro,rel_nec_prec_macro,rel_nec_rec_macro,rel_nec_f1_macro,epoch,iteration,global_iteration
6,6,data/datasets/ade/ade_split_9_test.json,configs/eval_generic.conf,data/datasets/ade/ade_types.json,./data/save/ade_bert_train/2022-03-27_09.07.07.554048/final_model,10,False,0,./data/save/ade_bert_train/2022-03-27_09.07.07.554048/final_model,spert,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,ade_bert_test,data/results/,True,True,,../data/results/ade_bert_test/2022-04-06_15.15.22.740390,2022-04-06_15.15.22.740390,98.88888888888889,99.9064546304958,99.39506747324336,98.93353174603176,99.91181657848324,99.41940657020255,98.32826747720364,99.84567901234568,99.08116385911178,98.32826747720364,99.84567901234568,99.08116385911178,98.32826747720364,99.84567901234568,99.08116385911178,98.32826747720364,99.84567901234568,99.08116385911178,0.0,0.0,0.0
11,11,data/datasets/ade/ade_split_9_test.json,configs/eval_generic.conf,data/datasets/ade/ade_types.json,./data/save/ade_elec_train/2022-03-28_13.38.42.558541/final_model,10,False,0,./data/save/ade_elec_train/2022-03-28_13.38.42.558541/final_model,spelec,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,ade_elec_test,data/results/,True,True,,../data/results/ade_elec_test/2022-04-06_15.44.14.804248,2022-04-06_15.44.14.804248,99.9064546304958,99.9064546304958,99.9064546304958,99.90059642147118,99.91181657848324,99.906118129564,99.38556067588326,99.84567901234568,99.6150885296382,99.38556067588326,99.84567901234568,99.6150885296382,99.38556067588326,99.84567901234568,99.6150885296382,99.38556067588326,99.84567901234568,99.6150885296382,0.0,0.0,0.0
12,12,data/datasets/ade/ade_split_9_test.json,configs/eval_generic.conf,data/datasets/ade/ade_types.json,./data/save/ade_elec_train/2022-03-28_12.03.19.494299/final_model,10,False,0,./data/save/ade_elec_train/2022-03-28_12.03.19.494299/final_model,spelec,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,ade_elec_test,data/results/,True,True,,../data/results/ade_elec_test/2022-04-06_15.45.42.235530,2022-04-06_15.45.42.235530,99.34883720930232,99.9064546304958,99.62686567164178,99.33084701502904,99.91181657848324,99.620071340316,98.32826747720364,99.84567901234568,99.08116385911178,98.32826747720364,99.84567901234568,99.08116385911178,98.32826747720364,99.84567901234568,99.08116385911178,98.32826747720364,99.84567901234568,99.08116385911178,0.0,0.0,0.0
16,16,data/datasets/ade/ade_split_9_test.json,configs/eval_generic.conf,data/datasets/ade/ade_types.json,./data/save/ade_rob_train/2022-03-27_22.47.55.820777/final_model,10,False,0,./data/save/ade_rob_train/2022-03-27_22.47.55.820777/final_model,sprob,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,ade_rob_test,data/results/,True,True,,../data/results/ade_rob_test/2022-04-06_15.51.28.232286,2022-04-06_15.51.28.232286,99.4408201304753,99.81290926099156,99.6265172735761,99.45009345272966,99.8236331569665,99.63651191442892,99.23195084485408,99.69135802469135,99.46112394149344,99.23195084485408,99.69135802469135,99.46112394149344,99.23195084485408,99.69135802469135,99.46112394149344,99.23195084485408,99.69135802469135,99.46112394149344,0.0,0.0,0.0
0,0,data/datasets/conll04/conll04_test.json,configs/eval_generic.conf,data/datasets/conll04/conll04_types.json,./data/save/conll04_bert_train/2022-03-24_19.30.46.210486/final_model,10,False,0,./data/save/conll04_bert_train/2022-03-24_19.30.46.210486/final_model,spert,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,conll04_bert_test,data/results/,True,True,,../data/results/conll04_bert_test/2022-04-06_15.15.46.833780,2022-04-06_15.15.46.833780,87.36263736263736,88.41519925857276,87.8857669276831,84.19046781518635,85.29688035778123,84.70327721777946,72.5130890052356,65.63981042654028,68.90547263681593,74.1158430692272,67.24353436783449,70.21005555742398,72.25130890052355,65.40284360189574,68.65671641791045,73.87774783113196,66.98037647309764,69.96005555742397,0.0,0.0,0.0
2,2,data/datasets/conll04/conll04_test.json,configs/eval_generic.conf,data/datasets/conll04/conll04_types.json,./data/save/conll04_bert_train/2022-03-24_17.03.33.337513/final_model,10,False,0,./data/save/conll04_bert_train/2022-03-24_17.03.33.337513/final_model,spert,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,conll04_bert_test,data/results/,True,True,,../data/results/conll04_bert_test/2022-04-06_15.17.11.804553,2022-04-06_15.17.11.804553,87.60255241567913,89.06394810009269,88.32720588235296,84.6165563798495,86.08034422193018,85.30810393662121,70.98445595854922,64.92890995260665,67.82178217821783,72.59345266892436,66.20456460299687,68.99310375657932,70.72538860103627,64.69194312796208,67.57425742574257,72.33704241251411,65.94140670826002,68.73336349683908,0.0,0.0,0.0
1,1,data/datasets/conll04/conll04_test.json,configs/eval_generic.conf,data/datasets/conll04/conll04_types.json,./data/save/conll04_bert_train/2022-03-24_19.12.06.248497/final_model,10,False,0,./data/save/conll04_bert_train/2022-03-24_19.12.06.248497/final_model,spert,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,conll04_bert_test,data/results/,True,True,,../data/results/conll04_bert_test/2022-04-06_15.19.29.061901,2022-04-06_15.19.29.061901,88.31646734130635,88.97126969416126,88.64265927977839,85.74578765368238,86.03141603794761,85.78950226199467,76.88172043010752,67.77251184834124,72.04030226700252,78.16551919541952,69.0813629819229,73.09135229849517,76.61290322580645,67.53554502369668,71.78841309823677,77.89524892514925,68.81820508718604,72.82468563182849,0.0,0.0,0.0
3,3,data/datasets/conll04/conll04_test.json,configs/eval_generic.conf,data/datasets/conll04/conll04_types.json,./data/save/conll04_bert_train/2022-03-24_16.56.59.416385/final_model,10,False,0,./data/save/conll04_bert_train/2022-03-24_16.56.59.416385/final_model,spert,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,conll04_bert_test,data/results/,True,True,,../data/results/conll04_bert_test/2022-04-06_15.51.06.552007,2022-04-06_15.51.06.552007,86.44524236983841,89.24930491195552,87.82489740082079,83.68972600623977,86.47932414896363,85.0379922122329,70.95115681233933,65.40284360189574,68.06411837237978,72.50112872260178,66.63772196448569,69.37808058955507,70.69408740359897,65.16587677725119,67.81750924784217,72.25112872260176,66.37456406974883,69.12167033314482,0.0,0.0,0.0
18,18,data/datasets/conll04/conll04_test.json,configs/eval_generic.conf,data/datasets/conll04/conll04_types.json,./data/save/conll04_elec_train/2022-03-26_10.39.43.538891/final_model,10,False,0,./data/save/conll04_elec_train/2022-03-26_10.39.43.538891/final_model,spelec,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,conll04_elec_test,data/results/,True,True,,../data/results/conll04_elec_test/2022-04-06_15.16.07.156645,2022-04-06_15.16.07.156645,73.47122302158273,75.71825764596849,74.57781834778639,70.75149469181595,72.40758847152935,71.49423681574407,62.83185840707964,50.4739336492891,55.97897503285151,64.13542686772253,53.75283954567269,58.20473850195212,62.53687315634219,50.23696682464455,55.7161629434954,63.83691940503597,53.48968165093585,57.92501822223184,0.0,0.0,0.0
17,17,data/datasets/conll04/conll04_test.json,configs/eval_generic.conf,data/datasets/conll04/conll04_types.json,./data/save/conll04_elec_train/2022-03-26_09.53.45.502396/final_model,10,False,0,./data/save/conll04_elec_train/2022-03-26_09.53.45.502396/final_model,spelec,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,conll04_elec_test,data/results/,True,True,,../data/results/conll04_elec_test/2022-04-06_15.16.26.796243,2022-04-06_15.16.26.796243,75.09057971014492,76.83039851714551,75.95052679798442,73.14338816614237,73.54301090996034,73.14032103256409,60.6951871657754,53.79146919431279,57.03517587939698,63.09167887374345,56.780611102223645,59.5013141959,60.42780748663101,53.55450236966824,56.78391959798994,62.82501220707679,56.56784514477684,59.264627805367454,0.0,0.0,0.0
19,19,data/datasets/conll04/conll04_test.json,configs/eval_generic.conf,data/datasets/conll04/conll04_types.json,./data/save/conll04_elec_train/2022-03-26_11.58.15.889933/final_model,10,False,0,./data/save/conll04_elec_train/2022-03-26_11.58.15.889933/final_model,spelec,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,conll04_elec_test,data/results/,True,True,,../data/results/conll04_elec_test/2022-04-06_15.20.21.358797,2022-04-06_15.20.21.358797,75.06799637352674,76.73772011121409,75.89367552703942,72.7482466724346,73.93082343843554,73.23434246123044,60.212201591511935,53.79146919431279,56.82102628285356,63.150715186132864,56.82358022716365,59.40708926956124,59.94694960212201,53.55450236966824,56.57071339173968,62.92599608500928,56.56042233242682,59.164665027137,0.0,0.0,0.0
22,22,data/datasets/conll04/conll04_test.json,configs/eval_generic.conf,data/datasets/conll04/conll04_types.json,./data/save/conll04_rob_train/2022-03-25_05.43.53.077390/final_model,10,False,0,./data/save/conll04_rob_train/2022-03-25_05.43.53.077390/final_model,sprob,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,conll04_rob_test,data/results/,True,True,,../data/results/conll04_rob_test/2022-04-06_15.16.48.568552,2022-04-06_15.16.48.568552,87.06739526411657,88.60055607043559,87.82728525493798,84.5713916674243,85.99806699965555,85.23943247432112,74.11444141689373,64.45497630331754,68.94803548795944,74.35398781882391,67.36998880179172,70.32795116861848,73.56948228882834,63.98104265402843,68.44106463878327,73.79800326283936,66.89406494960807,69.81588332778351,0.0,0.0,0.0
20,20,data/datasets/conll04/conll04_test.json,configs/eval_generic.conf,data/datasets/conll04/conll04_types.json,./data/save/conll04_rob_train/2022-03-25_10.31.25.567663/final_model,10,False,0,./data/save/conll04_rob_train/2022-03-25_10.31.25.567663/final_model,sprob,True,1,1000,0.5,25,0.1,False,False,False,9,,,False,1.0,conll04_rob_test,data/results/,True,True,,../data/results/conll04_rob_test/2022-04-06_15.18.36.647457,2022-04-06_15.18.36.647457,84.58149779735683,88.97126969416126,86.72086720867208,82.1411583856708,86.97613062699787,84.47135971348052,66.58653846153845,65.63981042654028,66.10978520286396,67.38150402771306,67.64253186156881,67.22490883186315,66.34615384615384,65.40284360189574,65.8711217183771,67.15678492658948,67.37937396683196,66.98248458943891,0.0,0.0,0.0
